booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,passport_hash,booking_year,booking_month,booking_day,booking_dayofweek
B1000,P1591,AI192,2025-06-14 11:37:36,CANCELLED,P******7,3D,Isaac Bakshi,+91--XXXXXX-5128,f940e2ba180de8ac,2025,6,14,Saturday
B1001,P1803,6F026,2025-11-02 11:37:36,CANCELLED,L******2,18A,Anvi Konda,+91--XXXXXX-8662,d91378d40fe1e09d,2025,11,2,Sunday
B1002,P1083,SJ010,2025-08-25 11:37:36,CANCELLED,G******9,30C,Udant Dewan,+91--XXXXXX-8220,23b7cacd31667095,2025,8,25,Monday
B1003,P1364,AI069,2025-12-30 11:37:36,CONFIRMED,M******6,33A,Harsh Chahal,+91--XXXXXX-6839,243f99cf0d190bc8,2025,12,30,Tuesday
B1004,P1885,UK003,2025-10-02 11:37:36,PENDING,N******1,25C,Pahal Balay,+91--XXXXXX-8266,42fe0f7b708ca4b0,2025,10,2,Thursday
B1005,P1548,AI048,2025-08-31 11:37:36,CONFIRMED,B******9,13D,Ayushman Chander,+91--XXXXXX-2726,82dd9b2e5eb1a610,2025,8,31,Sunday
B1006,P1341,AI140,2025-06-29 11:37:36,CANCELLED,W******0,17F,Tejas Kaul,+91--XXXXXX-7864,aedc0e19434d9e1c,2025,6,29,Sunday
B1007,P1838,UK167,2026-03-12 11:37:36,CONFIRMED,C******7,22E,Yashasvi Bala,+91--XXXXXX-5776,fd044d988a342088,2026,3,12,Thursday
B1008,P1406,AI245,2025-09-07 11:37:36,PENDING,J******2,34F,Rushil Saini,+91--XXXXXX-8807,f983073e0304453b,2025,9,7,Sunday
B1009,P1424,SJ158,2025-04-28 11:37:36,CANCELLED,Y******5,33C,Thomas Sen,+91--XXXXXX-6278,824377ad9cd840cb,2025,4,28,Monday
B1010,P1743,AI155,2025-11-24 11:37:36,CONFIRMED,N******8,15B,Arunima Ahuja,+91--XXXXXX-9414,2ab3c45bba4f0fc7,2025,11,24,Monday
B1011,P1092,AI179,2025-10-25 11:37:36,CONFIRMED,E******6,22C,Nathaniel Sami,+91--XXXXXX-6153,35ca263cf56b68ce,2025,10,25,Saturday
B1012,P1847,AI137,2025-08-15 11:37:36,PENDING,F******6,28B,Harini Mall,+91--XXXXXX-6860,76dc6130a39f0279,2025,8,15,Friday
B1013,P1613,SJ001,2025-07-20 11:37:36,CONFIRMED,A******7,26E,Nachiket Kale,+91--XXXXXX-6561,82c3e738443fba3c,2025,7,20,Sunday
B1014,P1411,SJ172,2025-09-15 11:37:36,PENDING,P******2,21E,Gayathri Chaudry,+91--XXXXXX-9979,480f1b6c19929336,2025,9,15,Monday
B1015,P1431,UK094,2025-10-21 11:37:36,UNKNOWN,D******7,6F,George Rai,+91--XXXXXX-5012,960660d68cb612af,2025,10,21,Tuesday
B1016,P1677,UK027,2026-01-13 11:37:36,CANCELLED,A******5,6A,Gunbir Parmer,+91--XXXXXX-0204,fdb609d4f87b2edc,2026,1,13,Tuesday
B1017,P1158,UK067,2026-04-04 11:37:36,CONFIRMED,L******0,13B,Hemangini Lalla,+91--XXXXXX-8257,6f9dcef5b648b43e,2026,4,4,Saturday
B1018,P1013,6F196,2026-03-25 11:37:36,CANCELLED,T******1,19B,Caleb Sharaf,+91--XXXXXX-0106,4ba001325f917124,2026,3,25,Wednesday
B1019,P1372,6F164,2025-07-31 11:37:36,CANCELLED,Y******3,19A,Jeet Radhakrishnan,+91--XXXXXX-0835,adc6c5aafd7e9a23,2025,7,31,Thursday
B1020,P1224,SJ112,2025-12-06 11:37:36,CONFIRMED,F******6,27B,Farhan Memon,+91--XXXXXX-6249,61719b7e19c3f5c0,2025,12,6,Saturday
B1021,P1504,6F190,2025-12-07 11:37:36,CANCELLED,L******1,4E,Janaki Handa,+91--XXXXXX-0161,776c940c227b3116,2025,12,7,Sunday
B1022,P1072,AI080,2026-03-25 11:37:36,CONFIRMED,D******5,16F,Ekaraj Bath,+91--XXXXXX-7221,19d221c1aeb64dba,2026,3,25,Wednesday
B1023,P1248,6F213,2026-02-03 11:37:36,PENDING,P******0,24B,Vedant Mann,+91--XXXXXX-9325,c29432796a2de8c2,2026,2,3,Tuesday
B1024,P1510,AI115,2025-06-21 11:37:36,PENDING,M******7,30F,Fariq Kaul,+91--XXXXXX-8072,4568ec5ab9e082aa,2025,6,21,Saturday
B1025,P1602,SJ049,2026-03-18 11:37:36,PENDING,L******2,1B,Harrison Rai,+91--XXXXXX-2966,b1130b78c2dd2bd6,2026,3,18,Wednesday
B1026,P1215,AI058,2025-06-27 11:37:36,CONFIRMED,C******8,32C,Arunima Setty,+91--XXXXXX-6345,a9cadf4414178def,2025,6,27,Friday
B1027,P1972,UK036,2025-07-25 11:37:36,CONFIRMED,F******5,22A,Janya Gaba,+91--XXXXXX-0795,2e4bbe5adbf8b997,2025,7,25,Friday
B1028,P1601,SJ239,2025-05-25 11:37:36,CANCELLED,V******8,26E,Kamala Pant,+91--XXXXXX-0757,46caa16c594727d5,2025,5,25,Sunday
B1029,P1540,6F025,2025-06-06 11:37:36,CANCELLED,B******0,19C,Shaurya Loke,+91--XXXXXX-4016,3ec41b90218e51b9,2025,6,6,Friday
B1030,P1946,6F236,2026-03-18 11:37:36,CANCELLED,X******3,21E,Ekbal Garg,+91--XXXXXX-1429,ca6010c6aa65afa5,2026,3,18,Wednesday
B1031,P1816,AI060,2025-11-16 11:37:36,CANCELLED,J******4,1E,Yash Gade,+91--XXXXXX-3949,37a620b4eb4e3c06,2025,11,16,Sunday
B1032,P1938,UK021,2025-09-03 11:37:36,CANCELLED,H******1,18E,Turvi Raghavan,+91--XXXXXX-8599,f4236be8ffaf2213,2025,9,3,Wednesday
B1033,P1987,UK026,2025-05-06 11:37:36,UNKNOWN,V******8,19A,Anamika Kanda,+91--XXXXXX-4041,9e854c4e5e87e7a4,2025,5,6,Tuesday
B1034,P1219,SJ179,2025-12-31 11:37:36,CONFIRMED,W******1,22F,Ekta Bhalla,+91--XXXXXX-0606,65c42dfcc4852f56,2025,12,31,Wednesday
B1035,P1839,6F251,2025-08-21 11:37:36,PENDING,A******6,11D,Veer Balay,+91--XXXXXX-1517,32e106a2a4f3b93c,2025,8,21,Thursday
B1036,P1726,SJ149,2025-11-24 11:37:36,PENDING,F******1,5B,Diya Rattan,+91--XXXXXX-3647,0ed7771f37df2625,2025,11,24,Monday
B1037,P1220,AI188,2026-03-20 11:37:36,PENDING,H******1,33E,Amrita Bhatti,+91--XXXXXX-5418,65a7d6d18da131f1,2026,3,20,Friday
B1038,P1388,SJ093,2026-01-01 11:37:36,PENDING,D******5,12D,Siddharth Murty,+91--XXXXXX-6192,f7aa990d583c685b,2026,1,1,Thursday
B1039,P1553,SJ205,2025-08-21 11:37:36,CONFIRMED,J******5,11E,Simon Tata,+91--XXXXXX-9854,021b3176f415e22f,2025,8,21,Thursday
B1040,P1646,6F099,2025-08-08 11:37:36,CONFIRMED,Z******8,26B,Meghana Shanker,+91--XXXXXX-5230,53d21c37fb16b9af,2025,8,8,Friday
B1041,P1041,UK176,2025-05-28 11:37:36,CONFIRMED,Y******7,25C,Luke Lanka,+91--XXXXXX-6035,e8cef1570f36e7ab,2025,5,28,Wednesday
B1042,P1675,UK200,2025-12-02 11:37:36,CANCELLED,B******0,24F,Liam Koshy,+91--XXXXXX-5890,dd4a31bf8bcd5954,2025,12,2,Tuesday
B1043,P1872,6F195,2025-11-22 11:37:36,CANCELLED,A******8,8E,Adya Sangha,+91--XXXXXX-1388,e12e2825cec02f39,2025,11,22,Saturday
B1044,P1282,6F174,2026-04-12 11:37:36,PENDING,T******5,16C,Mohini Pathak,+91--XXXXXX-0954,015351ca96f7fc79,2026,4,12,Sunday
B1045,P1057,SJ214,2026-03-19 11:37:36,UNKNOWN,B******2,18C,Theodore Devi,+91--XXXXXX-3432,e5420c2eac244f10,2026,3,19,Thursday
B1046,P1813,UK059,2025-10-14 11:37:36,CONFIRMED,V******0,2C,Yashodhara Tak,+91--XXXXXX-1874,0a63f2cbfd2c715a,2025,10,14,Tuesday
B1047,P1833,6F151,2025-12-29 11:37:36,PENDING,C******1,7C,Gavin Batta,+91--XXXXXX-4608,ec6772ed06e7cd61,2025,12,29,Monday
B1048,P1536,SJ236,2025-09-19 11:37:36,PENDING,D******0,18C,Imaran Dua,+91--XXXXXX-4278,e42fc536af85d61e,2025,9,19,Friday
B1049,P1072,SJ153,2025-07-28 11:37:36,UNKNOWN,W******6,3C,Nathaniel Sami,+91--XXXXXX-3067,1fb6eefc72f6aea4,2025,7,28,Monday
B1050,P1884,AI220,2026-01-15 11:37:36,PENDING,L******0,7D,Devansh Rajan,+91--XXXXXX-4482,d0bc29a26a67a749,2026,1,15,Thursday
B1051,P1922,6F028,2025-07-05 11:37:36,CANCELLED,M******8,16A,Lakshmi Sidhu,+91--XXXXXX-6443,791e75520f06fa08,2025,7,5,Saturday
B1052,P1128,UK209,2025-12-30 11:37:36,CANCELLED,F******2,33B,Zayan Apte,+91--XXXXXX-6326,9d987d537fa74d77,2025,12,30,Tuesday
B1053,P1598,UK216,2026-04-01 11:37:36,PENDING,V******0,28B,Ishwar Yadav,+91--XXXXXX-5009,13e3ab7f14dbfe1e,2026,4,1,Wednesday
B1054,P1841,AI132,2026-04-11 11:37:36,CANCELLED,V******9,19C,Amara Oak,+91--XXXXXX-8191,f476c6ce93635bd7,2026,4,11,Saturday
B1055,P1425,6F012,2025-10-14 11:37:36,CANCELLED,D******6,13F,Isaac Memon,+91--XXXXXX-7684,cd1e2bb2d99c70b0,2025,10,14,Tuesday
B1056,P1947,UK173,2026-03-24 11:37:36,CANCELLED,E******0,15B,Radhika Dugar,+91--XXXXXX-6381,7d93ea13d75fe381,2026,3,24,Tuesday
B1057,P1664,SJ047,2025-08-20 11:37:36,CANCELLED,C******0,14F,Sudiksha Aggarwal,+91--XXXXXX-4263,463b06b58ccaf0e2,2025,8,20,Wednesday
B1058,P1693,SJ043,2025-12-07 11:37:36,PENDING,A******2,8C,Adya Tella,+91--XXXXXX-4081,ddd163093942df80,2025,12,7,Sunday
B1059,P1124,UK140,2026-01-03 11:37:36,CONFIRMED,N******6,23B,Pranav Tripathi,+91--XXXXXX-0433,d3f6d583b78253ce,2026,1,3,Saturday
B1060,P1066,6F086,2025-12-30 11:37:36,CONFIRMED,T******7,11A,Hitesh Misra,+91--XXXXXX-7113,2ee9ddde20d677cc,2025,12,30,Tuesday
B1061,P1005,6F114,2026-04-05 11:37:36,CANCELLED,R******2,19C,Yashica Issac,+91--XXXXXX-7530,f83b501b1dd1824f,2026,4,5,Sunday
B1062,P1636,UK153,2025-06-12 11:37:36,CANCELLED,A******4,15D,Michael Prakash,+91--XXXXXX-7050,3205835cd717c40b,2025,6,12,Thursday
B1063,P1313,6F149,2025-05-19 11:37:36,CANCELLED,J******7,9A,Neel Zacharia,+91--XXXXXX-0081,44a0ddfa72050cb0,2025,5,19,Monday
B1064,P1325,UK145,2025-09-14 11:37:36,CONFIRMED,T******4,24E,Aadi Naik,+91--XXXXXX-2918,f9725406ccd97ac1,2025,9,14,Sunday
B1065,P1564,UK010,2026-03-06 11:37:36,CANCELLED,D******9,7B,Vrinda Bahl,+91--XXXXXX-8991,e75972ab3ad2a0dc,2026,3,6,Friday
B1066,P1577,SJ003,2025-11-05 11:37:36,PENDING,H******8,1B,Isaac Patil,+91--XXXXXX-8025,2ffa87127295d5f9,2025,11,5,Wednesday
B1067,P1825,SJ160,2025-07-23 11:37:36,PENDING,W******2,7F,Damyanti Khatri,+91--XXXXXX-9825,cdccbb4f465f0d88,2025,7,23,Wednesday
B1068,P1505,UK224,2025-11-22 11:37:36,PENDING,P******9,23A,Dalbir Khosla,+91--XXXXXX-9882,974b18d43f2e1e16,2025,11,22,Saturday
B1069,P1081,UK152,2025-08-02 11:37:36,CONFIRMED,Y******7,16E,Farhan Chada,+91--XXXXXX-6369,5c38d1440673c674,2025,8,2,Saturday
B1070,P1598,SJ034,2025-09-22 11:37:36,CANCELLED,H******2,15D,Vedika Biswas,+91--XXXXXX-3428,27c933fab2749257,2025,9,22,Monday
B1071,P1001,UK215,2025-12-21 11:37:36,CANCELLED,R******2,15F,Jeremiah Dave,+91--XXXXXX-0870,c0e5227deac266a7,2025,12,21,Sunday
B1072,P1203,UK089,2025-08-10 11:37:36,CANCELLED,M******1,18F,Vaishnavi Gandhi,+91--XXXXXX-2708,17ea3bceac270c1c,2025,8,10,Sunday
B1073,P1661,6F180,2025-12-04 11:37:36,CONFIRMED,C******9,16A,Alka Wable,+91--XXXXXX-4571,f688a08e92c3cbbb,2025,12,4,Thursday
B1074,P1804,6F188,2025-09-25 11:37:36,CONFIRMED,J******5,7A,Pallavi Kakar,+91--XXXXXX-6104,80663cfe76311802,2025,9,25,Thursday
B1075,P1403,UK131,2026-01-03 11:37:36,CONFIRMED,J******2,2F,Sai Muni,+91--XXXXXX-7796,3d5bff76e08338e7,2026,1,3,Saturday
B1076,P1102,UK055,2025-05-04 11:37:36,CONFIRMED,X******0,12B,Mohini Prakash,+91--XXXXXX-9350,da9c386b03455652,2025,5,4,Sunday
B1077,P1535,UK181,2025-05-03 11:37:36,PENDING,E******2,3A,Raksha Varughese,+91--XXXXXX-9292,44bb86c93a36584f,2025,5,3,Saturday
B1078,P1367,6F077,2025-09-21 11:37:36,CONFIRMED,Z******6,1B,Siya Dara,+91--XXXXXX-0016,d9658118e6287d47,2025,9,21,Sunday
